Creation Date and Time: 2024-06-02 19:49:08
Iteration,SaleValue,Distance,Objective,Tolerance,customerParam,sellerParam,saleParam,dateParam,productParam
0,15.6296,15.4899,0.139669,0.5,0.173,0.1816,0.015,0.4064,0.0022
1,15.4733,15.3336,0.139669,0.5,0.17127,0.179784,0.01485,0.402336,0.002178
2,15.3186,15.1789,0.139669,0.5,0.169557,0.177986,0.0147015,0.398313,0.00215622
3,15.1654,15.0257,0.139669,0.5,0.167862,0.176206,0.0145545,0.39433,0.00213466
4,15.0137,14.8741,0.139669,0.5,0.166183,0.174444,0.0144089,0.390386,0.00211331
5,14.8636,14.7239,0.139669,0.5,0.164521,0.1727,0.0142649,0.386482,0.00209218
6,14.715,14.5753,0.139669,0.5,0.162876,0.170973,0.0141222,0.382618,0.00207126
7,14.5678,14.4281,0.139669,0.5,0.161247,0.169263,0.013981,0.378791,0.00205054
8,14.4221,14.2825,0.139669,0.5,0.159635,0.16757,0.0138412,0.375003,0.00203004
9,14.2779,14.1382,0.139669,0.5,0.158038,0.165895,0.0137028,0.371253,0.00200974
10,14.1351,13.9955,0.139669,0.5,0.156458,0.164236,0.0135657,0.367541,0.00198964
11,13.9938,13.8541,0.139669,0.5,0.154894,0.162593,0.0134301,0.363865,0.00196974
12,13.8538,13.7142,0.139669,0.5,0.153345,0.160967,0.0132958,0.360227,0.00195005
13,13.7153,13.5756,0.139669,0.5,0.151811,0.159358,0.0131628,0.356625,0.00193055
14,13.5781,13.4385,0.139669,0.5,0.150293,0.157764,0.0130312,0.353058,0.00191124
15,13.4424,13.3027,0.139669,0.5,0.14879,0.156187,0.0129009,0.349528,0.00189213
16,13.3079,13.1683,0.139669,0.5,0.147302,0.154625,0.0127719,0.346032,0.00187321
17,13.1749,13.0352,0.139669,0.5,0.145829,0.153078,0.0126441,0.342572,0.00185448
18,13.0431,12.9034,0.139669,0.5,0.144371,0.151548,0.0125177,0.339146,0.00183593
19,12.9127,12.773,0.139669,0.5,0.142927,0.150032,0.0123925,0.335755,0.00181757
20,12.7836,12.6439,0.139669,0.5,0.141498,0.148532,0.0122686,0.332397,0.0017994
21,12.6557,12.5161,0.139669,0.5,0.140083,0.147047,0.0121459,0.329073,0.0017814
22,12.5292,12.3895,0.139669,0.5,0.138682,0.145576,0.0120245,0.325783,0.00176359
23,12.4039,12.2642,0.139669,0.5,0.137295,0.14412,0.0119042,0.322525,0.00174595
24,12.2798,12.1402,0.139669,0.5,0.135922,0.142679,0.0117852,0.3193,0.00172849
25,12.157,12.0174,0.139669,0.5,0.134563,0.141252,0.0116673,0.316107,0.00171121
26,12.0355,11.8958,0.139669,0.5,0.133217,0.13984,0.0115506,0.312946,0.00169409
27,11.9151,11.7754,0.139669,0.5,0.131885,0.138441,0.0114351,0.309816,0.00167715
28,11.796,11.6563,0.139669,0.5,0.130566,0.137057,0.0113208,0.306718,0.00166038
29,11.678,11.5383,0.139669,0.5,0.129261,0.135686,0.0112076,0.303651,0.00164378
30,11.5612,11.4216,0.139669,0.5,0.127968,0.13433,0.0110955,0.300614,0.00162734
31,11.4456,11.3059,0.139669,0.5,0.126688,0.132986,0.0109846,0.297608,0.00161107
32,11.3312,11.1915,0.139669,0.5,0.125422,0.131656,0.0108747,0.294632,0.00159496
33,11.2178,11.0782,0.139669,0.5,0.124167,0.13034,0.010766,0.291686,0.00157901
34,11.1057,10.966,0.139669,0.5,0.122926,0.129036,0.0106583,0.288769,0.00156322
35,10.9946,10.8549,0.139669,0.5,0.121696,0.127746,0.0105517,0.285881,0.00154758
36,10.8847,10.745,0.139669,0.5,0.120479,0.126469,0.0104462,0.283022,0.00153211
37,10.7758,10.6361,0.139669,0.5,0.119275,0.125204,0.0103417,0.280192,0.00151679
38,10.6681,10.5284,0.139669,0.5,0.118082,0.123952,0.0102383,0.27739,0.00150162
39,10.5614,10.4217,0.139669,0.5,0.116901,0.122712,0.0101359,0.274616,0.0014866
40,10.4558,10.3161,0.139669,0.5,0.115732,0.121485,0.0100346,0.27187,0.00147174
41,10.3512,10.2115,0.139669,0.5,0.114575,0.12027,0.00993423,0.269151,0.00145702
42,10.2477,10.108,0.139669,0.5,0.113429,0.119068,0.00983489,0.26646,0.00144245
43,10.1452,10.0055,0.139669,0.5,0.112295,0.117877,0.00973654,0.263795,0.00142803
44,10.0438,9.90409,0.139669,0.5,0.111172,0.116698,0.00963917,0.261157,0.00141375
45,9.94332,9.80366,0.139669,0.5,0.11006,0.115531,0.00954278,0.258546,0.00139961
46,9.84389,9.70422,0.139669,0.5,0.108959,0.114376,0.00944735,0.25596,0.00138561
47,9.74545,9.60578,0.139669,0.5,0.10787,0.113232,0.00935288,0.253401,0.00137176
48,9.648,9.50833,0.139669,0.5,0.106791,0.1121,0.00925935,0.250867,0.00135804
49,9.55152,9.41185,0.139669,0.5,0.105723,0.110979,0.00916676,0.248358,0.00134446
