client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
25;22;2022;1;5;19;140;163991
31;27;2022;1;4;7;68;51414
211;34;2022;1;3;10;27;59951
233;27;2022;1;4;24;52;99588
293;65;2022;1;4;43;207;470281
308;37;2022;1;4;14;34;62448
191;44;2022;1;4;18;39;123981
407;9;2022;1;3;2;2;9680
538;51;2022;1;3;15;149;215586
539;111;2022;1;6;26;158;211937
585;36;2022;1;4;2;2;3965
559;109;2022;1;3;9;39;40020
615;77;2022;1;4;13;43;121081
807;115;2022;1;4;12;583;671475
853;37;2022;1;4;28;85;98960
873;37;2022;1;4;10;24;47847
915;109;2022;1;4;7;47;144155
407;9;2022;1;4;4;10;19703
959;82;2022;1;4;13;30;98450
962;43;2022;1;3;26;143;283914
1164;97;2022;1;3;16;55;150682
1178;13;2022;1;4;28;97;109277
1198;82;2022;1;5;22;54;105912
646;43;2022;1;4;11;18;28363
1339;34;2022;1;5;20;41;248458
1361;88;2022;1;5;19;192;169820
1411;57;2022;1;3;31;109;184809
1411;57;2022;1;3;15;33;65800
1429;92;2022;1;4;3;16;79138
123;65;2022;1;4;13;25;63030
646;43;2022;1;4;7;12;19994
1619;33;2022;1;6;9;32;43590
1625;103;2022;1;4;46;158;173732
1692;37;2022;1;5;15;89;64169
1716;75;2022;1;5;6;49;85119
1720;72;2022;1;4;16;73;126167
123;65;2022;1;5;36;108;192447
1781;66;2022;1;5;16;67;102630
1885;37;2022;1;5;12;40;46543
1885;37;2022;1;5;12;40;46543
1893;63;2022;1;4;11;28;93279
1903;37;2022;1;5;22;120;273877
1942;12;2022;1;6;9;37;129107
2018;58;2022;1;5;11;58;91498
2023;124;2022;1;5;8;21;55832
2085;8;2022;1;5;19;93;157479
1836;91;2022;1;5;14;30;51517
2109;92;2022;1;5;17;68;146989
646;43;2022;1;5;12;22;30589
2219;15;2022;1;5;8;16;47361
453;74;2022;1;5;20;44;92210
717;72;2022;1;5;11;31;83879
2319;37;2022;1;6;16;55;100652
2345;27;2022;1;5;12;30;37335
2350;60;2022;1;5;19;123;132658
2387;111;2022;1;5;16;107;128470
469;36;2022;1;5;9;28;58402
717;72;2022;1;5;11;26;31845
2501;48;2022;1;5;14;42;80589
2656;34;2022;1;5;15;75;116949
2716;21;2022;1;5;28;119;229913
2750;15;2022;1;5;30;113;142064
2800;98;2022;1;6;4;36;95848
2955;37;2022;1;5;16;70;65435
1278;40;2022;1;6;19;53;100755
2990;38;2022;1;5;10;64;96476
3007;27;2022;1;5;20;70;146617
3000;95;2022;1;7;7;62;106179
3032;83;2022;1;6;10;48;75202
3062;114;2022;1;6;16;94;115961
3064;102;2022;1;5;9;38;177683
582;36;2022;1;6;2;2;32118
2203;109;2022;1;5;2;11;32820
3119;37;2022;1;6;21;37;67879
1198;22;2022;1;7;22;67;72913
3228;27;2022;1;6;18;26;36032
1567;90;2022;1;6;25;102;389618
3238;56;2022;1;6;31;87;111615
1441;108;2022;1;6;19;104;567045
3260;128;2022;1;6;12;63;129018
3262;88;2022;1;6;23;79;321296
3448;15;2022;1;7;17;32;48467
3480;93;2022;1;13;14;65;106521
3482;5;2022;1;7;46;97;199192
3463;88;2022;1;11;11;56;129436
3581;125;2022;1;7;8;68;180657
646;43;2022;1;7;14;25;29952
3612;56;2022;1;6;36;177;235768
3623;123;2022;1;7;30;135;268731
3663;27;2022;1;7;20;76;300347
2019;57;2022;1;7;16;57;162710
3722;37;2022;1;7;12;31;37737
3569;105;2022;1;6;7;15;21938
3783;39;2022;1;7;16;52;62743
487;109;2022;1;6;31;151;319058
3847;18;2022;1;7;8;97;121644
407;9;2022;1;10;2;2;5655
3880;91;2022;1;11;9;13;26189
3880;91;2022;1;6;5;7;10949
1823;44;2022;1;6;2;4;30456
1903;37;2022;1;7;22;120;273877
3919;117;2022;1;7;26;242;588399
3282;78;2022;1;6;10;22;37758
4020;37;2022;1;7;13;22;28716
4039;126;2022;1;7;19;48;96509
4045;37;2022;1;6;8;10;22950
3880;91;2022;1;11;5;13;17403
3880;91;2022;1;7;4;5;11690
3880;91;2022;1;6;6;6;13027
4125;101;2022;1;10;14;78;170695
4129;12;2022;1;7;17;39;59370
4178;101;2022;1;7;50;397;551920
3880;91;2022;1;7;4;7;11332
