client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
47;10;2022;1;4;8;236;67466
116;63;2022;1;3;25;160;205605
122;54;2022;1;3;15;158;301685
132;65;2022;1;4;8;35;83319
151;2;2022;1;3;21;199;177565
158;32;2022;1;3;11;167;216071
198;12;2022;1;3;22;161;162756
208;12;2022;1;4;6;25;363913
218;89;2022;1;4;12;106;89169
224;68;2022;1;3;3;17;27999
272;80;2022;1;4;8;33;137330
281;99;2022;1;4;22;279;153659
287;74;2022;1;3;15;33;77302
334;44;2022;1;4;11;73;123279
388;34;2022;1;3;28;125;185277
403;93;2022;1;3;12;173;192035
537;111;2022;1;4;3;38;94489
570;20;2022;1;3;8;15;68396
581;22;2022;1;4;10;105;84294
593;69;2022;1;3;8;26;41654
578;12;2022;1;3;32;116;207002
678;127;2022;1;3;8;20;46686
691;12;2022;1;3;32;116;207002
733;37;2022;1;4;19;706;1009325
801;78;2022;1;4;16;88;129136
826;5;2022;1;4;17;33;79924
667;73;2022;1;4;5;207;55854
885;89;2022;1;4;7;117;160319
896;110;2022;1;3;16;194;529019
902;114;2022;1;4;26;151;167039
903;112;2022;1;4;19;79;136958
667;73;2022;1;3;8;13;67010
979;10;2022;1;11;22;102;167294
989;78;2022;1;4;28;130;316359
991;12;2022;1;3;25;283;315324
1015;37;2022;1;3;11;36;65272
267;98;2022;1;4;4;51;45175
1074;111;2022;1;4;45;180;470625
1120;13;2022;1;3;8;42;86422
1141;19;2022;1;3;7;11;13264
1149;49;2022;1;5;24;210;191942
1178;13;2022;1;4;28;97;109277
1184;72;2022;1;3;16;25;65192
1217;9;2022;1;5;19;101;363861
1228;96;2022;1;5;34;99;181306
1129;43;2022;1;4;16;63;114748
1248;104;2022;1;4;14;85;155470
1256;111;2022;1;4;20;131;361769
900;119;2022;1;4;17;66;113350
1358;73;2022;1;4;11;54;111381
616;6;2022;1;5;29;161;264571
1413;100;2022;1;4;32;155;310647
1449;12;2022;1;4;20;102;118533
1449;12;2022;1;4;20;102;118533
970;44;2022;1;4;34;286;808390
499;32;2022;1;5;13;63;81145
1517;37;2022;1;4;6;18;45186
1533;30;2022;1;4;17;125;342436
1538;75;2022;1;4;17;55;87334
1420;130;2022;1;4;6;13;28080
1624;125;2022;1;4;9;49;45874
787;105;2022;1;6;33;244;246000
1530;109;2022;1;4;19;118;182160
1646;109;2022;1;10;29;78;277903
1700;105;2022;1;4;5;164;601621
1713;55;2022;1;5;26;76;121731
1726;32;2022;1;4;18;41;65118
1738;101;2022;1;4;9;32;57478
1755;86;2022;1;5;11;199;265419
1817;105;2022;1;4;16;234;438931
1855;57;2022;1;4;15;43;161780
1525;104;2022;1;5;2;51;193800
1901;108;2022;1;4;25;125;219417
1927;59;2022;1;4;16;90;176541
1965;15;2022;1;5;8;31;56154
883;103;2022;1;4;3;8;39049
2030;45;2022;1;6;30;456;216495
1503;119;2022;1;5;9;15;24308
2118;27;2022;1;4;5;10;43582
1023;133;2022;1;6;25;1887;6358380
2357;63;2022;1;6;6;17;21850
3551;101;2022;1;6;21;91;89197
3605;115;2022;1;7;17;1029;979950
3653;62;2022;1;6;4;34;132940
3696;9;2022;1;6;15;86;120994
829;43;2022;1;10;5;28;44594
3730;27;2022;1;6;6;13;63499
3834;62;2022;1;10;22;174;274244
3870;66;2022;1;7;6;117;70787
1292;9;2022;1;7;11;54;87083
2211;56;2022;1;7;11;40;58817
3203;78;2022;1;6;19;476;138767
3999;3;2022;1;7;63;1284;2243088
3986;90;2022;1;6;7;24;18949
4217;75;2022;1;7;4;56;200408
73;49;2022;1;7;21;458;557204
4256;55;2022;1;10;40;143;229073
3490;102;2022;1;10;11;35;82797
4364;18;2022;1;7;3;14;42928
4447;72;2022;1;10;19;270;125694
2865;18;2022;1;10;27;112;128594
4533;26;2022;1;11;39;183;395635
3880;91;2022;1;10;9;13;30762
3986;90;2022;1;10;8;21;15862
4610;27;2022;1;10;10;52;80733
4662;37;2022;1;10;5;103;265097
4685;89;2022;1;10;28;67;167431
4720;105;2022;1;8;8;57;147242
4757;84;2022;1;10;21;126;332024
4768;31;2022;1;10;31;76;145777
4772;18;2022;1;17;10;71;73067
4805;78;2022;1;10;16;78;130862
4812;5;2022;1;7;3;13;45988
