client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
17;17;2022;1;6;25;78;115386
21;20;2022;1;10;21;871;204397
586;31;2022;1;3;9;77;109589
178;65;2022;1;3;12;19;28721
773;9;2022;1;3;23;234;128034
953;132;2022;1;4;12;38;64108
1093;111;2022;1;4;6;117;312743
1128;117;2022;1;3;20;94;114448
0;0;2022;1;5;3;15;14057
1199;0;2022;1;4;3;3;928
164;68;2022;1;5;2;3;5739
1806;10;2022;1;5;19;71;41086
1835;37;2022;1;5;34;80;92548
347;130;2022;1;4;15;272;301301
773;9;2022;1;5;18;103;108507
2062;111;2022;1;5;52;596;932257
1560;41;2022;1;5;10;194;148124
2095;112;2022;1;6;23;268;154074
2127;112;2022;1;5;40;212;467974
2127;112;2022;1;5;21;105;229906
2201;75;2022;1;5;13;36;22972
2412;9;2022;1;6;31;536;520841
2836;129;2022;1;5;19;378;307824
0;0;2022;1;6;3;30;4955
2886;123;2022;1;6;22;77;158055
0;0;2022;1;5;3;21;6253
2934;41;2022;1;13;37;536;458420
0;0;2022;1;6;2;7;1498
0;0;2022;1;7;2;14;3319
3084;18;2022;1;6;20;50;108118
1092;130;2022;1;6;29;129;241201
3304;78;2022;1;5;12;158;79184
3335;37;2022;1;6;70;443;323024
3336;38;2022;1;6;15;61;113027
3714;80;2022;1;6;16;71;88953
3961;91;2022;1;7;12;408;295593
2836;129;2022;1;7;19;378;307824
4010;98;2022;1;7;21;448;339310
4022;37;2022;1;7;24;194;296885
4038;3;2022;1;10;73;219;481703
0;0;2022;1;10;5;95;31070
0;0;2022;1;11;1;4;904
2953;96;2022;1;7;8;37;157382
2145;56;2022;1;10;18;204;189133
638;15;2022;1;7;11;99;40481
4518;108;2022;1;10;12;249;260157
4518;108;2022;1;11;25;144;313339
4579;41;2022;1;10;21;389;325648
4771;50;2022;1;7;28;3950;1329940
4832;37;2022;1;10;39;120;152583
4954;70;2022;1;11;44;184;387119
4988;102;2022;1;10;19;65;115102
402;63;2022;1;12;28;195;284364
3203;51;2022;1;10;28;118;102845
0;0;2022;1;11;1;2;452
5396;27;2022;1;11;26;143;360956
5412;8;2022;1;11;19;105;193278
87;123;2022;1;12;18;282;262845
4518;108;2022;1;12;12;249;260157
5590;5;2022;1;12;12;87;72621
5594;27;2022;1;11;17;51;30047
3330;19;2022;1;11;36;411;269517
1198;22;2022;1;11;20;54;104986
3134;59;2022;1;11;40;328;303052
1110;62;2022;1;11;16;283;228201
5820;27;2022;1;11;21;54;111106
5874;37;2022;1;12;25;75;75105
5889;15;2022;1;11;11;123;49811
6164;37;2022;1;12;6;58;24733
6135;68;2022;1;11;24;78;143240
2509;34;2022;1;12;23;77;128561
844;17;2022;1;12;15;33;28752
1538;75;2022;1;12;11;147;71805
1199;0;2022;1;12;2;4;608
1199;0;2022;1;13;2;2;855
1199;0;2022;1;13;2;2;855
1199;0;2022;1;12;2;2;855
1199;0;2022;1;11;2;5;1936
1199;0;2022;1;12;2;3;1484
1199;0;2022;1;12;2;3;1081
1199;0;2022;1;13;2;2;855
6348;41;2022;1;13;49;924;857192
1199;0;2022;1;13;2;2;855
1199;0;2022;1;13;3;11;3654
6426;20;2022;1;12;19;218;119231
1199;0;2022;1;13;2;2;855
1199;0;2022;1;12;2;3;1081
6016;92;2022;1;12;12;23;35956
4280;135;2022;1;13;38;145;121404
452;110;2022;1;13;17;27;27708
6632;9;2022;1;13;12;530;382333
6665;94;2022;1;12;11;132;54027
6842;26;2022;1;13;41;101;110334
6921;115;2022;1;14;20;160;65868
2755;106;2022;1;14;55;244;1033288
1219;154;2022;1;14;11;87;41301
5080;20;2022;1;13;60;201;110570
4010;98;2022;1;17;16;313;68510
7209;15;2022;1;13;32;141;193783
0;0;2022;1;14;2;10;12180
0;0;2022;1;17;2;40;6140
7266;62;2022;1;14;24;146;299116
0;0;2022;1;14;4;28;10694
7289;12;2022;1;17;13;43;42536
6853;106;2022;1;17;15;34;31936
0;0;2022;1;17;1;10;2260
0;0;2022;1;17;2;5;1046
0;0;2022;1;14;3;22;14886
0;0;2022;1;17;2;15;13310
0;0;2022;1;17;5;70;8213
0;0;2022;1;17;3;23;8660
0;0;2022;1;14;5;81;102044
0;0;2022;1;14;2;15;13310
0;0;2022;1;17;4;54;7182
7428;37;2022;1;17;58;437;331406
0;0;2022;1;17;3;115;30410
0;0;2022;1;17;1;5;1130
0;0;2022;1;17;3;20;14595
0;0;2022;1;17;1;5;1130
0;0;2022;1;17;3;50;4975
0;0;2022;1;14;1;10;2260
0;0;2022;1;17;5;33;56440
827;123;2022;1;17;66;1367;1272006
1390;90;2022;1;17;10;62;62887
2077;27;2022;1;17;33;57;39007
6665;94;2022;1;17;11;132;54027
0;0;2022;1;17;3;9;12416
7667;86;2022;1;14;25;90;69155
1106;123;2022;1;18;9;134;58987
7790;158;2022;1;17;33;142;144382
7842;123;2022;1;18;20;116;119758
7939;18;2022;1;19;8;50;87081
3968;17;2022;1;17;18;65;74612
1783;18;2022;1;18;44;150;270164
8163;37;2022;1;18;16;56;53384
371;9;2022;1;18;11;92;25755
8204;51;2022;1;18;35;682;752676
3322;111;2022;1;19;10;38;17291
8304;37;2022;1;19;13;179;190795
8305;18;2022;1;19;9;57;97070
