client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
293;65;2022;1;4;43;207;470281
500;24;2022;1;4;11;277;323807
947;28;2022;1;3;62;323;384175
2195;30;2022;1;5;15;29;75556
3879;90;2022;1;6;30;123;295237
4181;109;2022;1;10;39;182;241138
4574;37;2022;1;10;21;214;183207
5255;126;2022;1;11;7;18;87103
4873;2;2022;1;10;21;72;115524
5625;88;2022;1;12;13;63;40521
6032;68;2022;1;11;18;42;97984
6296;146;2022;1;13;21;82;308911
6858;106;2022;1;14;59;285;374331
4021;27;2022;1;13;28;251;221269
5625;88;2022;1;17;6;8;19551
2669;65;2022;1;18;17;96;225718
8031;97;2022;1;17;13;206;264748
2333;41;2022;1;18;29;152;114583
3761;37;2022;1;21;20;47;114180
283;65;2022;1;21;9;56;86689
458;117;2022;1;21;63;168;327504
458;117;2022;1;21;20;61;166423
345;53;2022;1;25;18;63;95557
9717;27;2022;1;25;24;190;109331
9918;37;2022;1;25;14;27;56778
458;126;2022;1;25;63;168;327504
2793;98;2022;1;25;5;18;41622
10197;151;2022;1;27;14;1033;1307074
3609;53;2022;1;31;6;76;70307
11135;40;2022;1;31;18;36;50911
438;51;2022;2;1;11;75;80150
947;128;2022;2;2;47;290;363878
11265;27;2022;2;2;12;45;66128
1726;32;2022;2;3;12;38;40019
1018;19;2022;2;7;15;56;71263
6135;68;2022;2;4;19;44;67362
6135;68;2022;2;4;27;70;149698
2441;37;2022;2;4;14;49;70682
568;37;2022;2;8;17;98;105802
6588;31;2022;2;8;20;137;435339
671;154;2022;2;10;25;164;290533
2195;30;2022;2;14;23;38;67287
13028;37;2022;2;17;37;90;112206
1229;97;2022;2;17;12;25;29740
9551;41;2022;2;17;10;32;140069
4574;37;2022;2;21;17;89;97897
13687;41;2022;2;23;12;155;474748
1288;97;2022;2;23;5;21;46809
2464;134;2022;2;23;11;85;291877
2315;97;2022;2;25;14;66;88316
13990;131;2022;2;25;16;67;105030
4237;103;2022;2;28;11;18;33119
12680;37;2022;2;28;12;109;303721
12680;37;2022;3;1;5;121;187105
9843;37;2022;2;28;14;123;54258
14426;48;2022;3;2;17;89;101807
947;128;2022;3;1;59;199;306167
1018;19;2022;3;2;18;67;87271
2248;34;2022;3;2;16;27;53318
9617;91;2022;3;2;13;44;67715
6502;37;2022;3;3;19;47;62551
6135;68;2022;3;2;13;67;158769
9744;37;2022;3;4;67;170;152997
2441;37;2022;3;3;15;51;55739
2904;37;2022;3;3;13;31;111033
2669;65;2022;3;7;25;86;170305
3794;24;2022;3;4;11;21;36770
1755;86;2022;3;8;71;988;1239319
14980;53;2022;3;4;11;195;602270
9210;13;2022;3;10;18;61;132987
5625;88;2022;3;8;11;91;37652
3113;56;2022;3;8;14;152;146065
758;115;2022;3;9;21;63;81295
15311;37;2022;3;9;23;40;99920
8974;82;2022;3;10;4;19;51134
11135;55;2022;3;11;27;42;80891
438;51;2022;3;11;16;85;54085
9883;76;2022;3;11;33;121;264818
1783;18;2022;3;18;48;241;341621
6662;37;2022;3;17;13;82;132375
2260;97;2022;3;18;33;247;749702
6155;33;2022;3;17;11;176;115844
1783;18;2022;3;18;47;236;338211
10141;37;2022;3;18;14;58;91930
3456;33;2022;3;18;22;612;1177652
12253;26;2022;3;21;26;115;231974
6296;146;2022;3;24;20;127;314587
8446;37;2022;3;25;28;97;257343
1872;41;2022;3;28;19;29;48858
7486;86;2022;3;28;10;35;38645
4733;108;2022;3;31;20;74;138069
590;112;2022;3;31;29;390;328808
5714;37;2022;3;31;5;44;59683
11101;51;2022;3;31;14;154;211456
2669;65;2022;3;31;24;81;201477
9899;37;2022;4;1;17;27;68052
1726;32;2022;4;1;18;48;97693
947;28;2022;4;4;49;188;394887
1910;135;2022;4;7;31;95;306858
14426;48;2022;4;4;23;97;115603
1018;19;2022;4;5;19;86;179479
275;89;2022;4;6;7;15;45394
9937;105;2022;4;6;10;31;62082
9598;69;2022;4;11;33;117;91542
