Iteration,AverageSaleValue,MinSaleValue,MaxSaleValue,Distance,Tolerance,client_numeric,day,month,sku_count_products,total_num_count_products,total_price_products,vendor_numeric,year
1,193.309,94.2345,332.537,0.49686,13,-0.834332,-0.480656,-0.148177,-0.709467,-nan,-nan,0.903272,-0.382273
2,225.849,97.1051,328.38,0.497159,13,-0.834332,-0.480656,-0.148177,-0.709467,0.5,0.5,0.903272,-0.382273
3,231.146,120.106,380.391,0.496749,13,-0.834332,-0.480656,-0.148177,-0.709467,0.497066,0.502934,0.903272,-0.382273
4,212.053,98.5213,383.018,0.496832,13,-0.834332,-0.480656,-0.148177,-0.709467,0.425568,0.574432,0.903272,-0.382273
5,208.349,95.7238,342.748,0.498484,13,-0.834332,-0.480656,-0.148177,-0.709467,0.428812,0.571188,0.903272,-0.382273
6,202.748,94.4526,356.32,0.49813,13,-0.834332,-0.480656,-0.148177,-0.709467,0.424331,0.575669,0.903272,-0.382273
7,203.802,98.6853,341.991,0.495832,13,-0.834332,-0.480656,-0.148177,-0.709467,0.404207,0.595793,0.903272,-0.382273
8,225.879,108.325,454.599,0.497704,13,-0.834332,-0.480656,-0.148177,-0.709467,0.411172,0.588828,0.903272,-0.382273
9,211.866,101.662,337.124,0.498669,13,-0.834332,-0.480656,-0.148177,-0.709467,0.386123,0.613877,0.903272,-0.382273
10,235.039,98.4846,476.859,0.495807,13,-0.834332,-0.480656,-0.148177,-0.709467,0.395282,0.604718,0.903272,-0.382273
