Iteration,AverageSaleValue,MinSaleValue,MaxSaleValue,Distance,Tolerance,client_numeric,day,month,sku_count_products,total_num_count_products,total_price_products,vendor_numeric,year
1,5321.42,2132.72,8115.94,0.023884,13,-0.901096,-1.48998,-0.678251,-1.23468,-nan,-nan,-0.970038,0.255184
2,5383.25,2129.76,8226.18,0.0221341,13,-0.901096,-1.48998,-0.678251,-1.23468,0.5,0.5,-0.970038,0.255184
3,5224.03,2100.01,8203.48,0.0224849,13,-0.901096,-1.48998,-0.678251,-1.23468,0.50195,0.49805,-0.970038,0.255184
4,5054.52,2241.1,8159.1,0.022743,13,-0.901096,-1.48998,-0.678251,-1.23468,0.501672,0.498328,-0.970038,0.255184
5,4629.53,1899,8107.77,0.0234144,13,-0.901096,-1.48998,-0.678251,-1.23468,0.504857,0.495143,-0.970038,0.255184
6,5448.99,2165.82,8174.4,0.0231146,13,-0.901096,-1.48998,-0.678251,-1.23468,0.505251,0.494749,-0.970038,0.255184
7,4839.38,2075.12,8175.53,0.0232441,13,-0.901096,-1.48998,-0.678251,-1.23468,0.50734,0.49266,-0.970038,0.255184
8,5323.71,2140.28,8172.13,0.0224954,13,-0.901096,-1.48998,-0.678251,-1.23468,0.507544,0.492456,-0.970038,0.255184
9,5209.81,2254.81,8058.1,0.0234503,13,-0.901096,-1.48998,-0.678251,-1.23468,0.507926,0.492074,-0.970038,0.255184
10,4636.57,1946.86,8170.88,0.0225272,13,-0.901096,-1.48998,-0.678251,-1.23468,0.508194,0.491806,-0.970038,0.255184
11,4865.3,1910.73,8243.42,0.0239106,13,-0.901096,-1.48998,-0.678251,-1.23468,0.509003,0.490997,-0.970038,0.255184
12,4628.04,2019.61,8102.52,0.0235378,13,-0.901096,-1.48998,-0.678251,-1.23468,0.507795,0.492205,-0.970038,0.255184
13,5542.25,2791.19,8202.02,0.0227862,13,-0.901096,-1.48998,-0.678251,-1.23468,0.50613,0.49387,-0.970038,0.255184
14,4709.5,2000.88,8246.81,0.023287,13,-0.901096,-1.48998,-0.678251,-1.23468,0.507442,0.492558,-0.970038,0.255184
15,4814.99,1921.58,8209.24,0.0230991,13,-0.901096,-1.48998,-0.678251,-1.23468,0.509387,0.490613,-0.970038,0.255184
16,5354.98,2207.93,8194.35,0.0215578,13,-0.901096,-1.48998,-0.678251,-1.23468,0.507794,0.492206,-0.970038,0.255184
17,5180.75,2415.21,8241.95,0.0231039,13,-0.901096,-1.48998,-0.678251,-1.23468,0.504273,0.495727,-0.970038,0.255184
18,5318.07,2720.21,8207.68,0.0234316,13,-0.901096,-1.48998,-0.678251,-1.23468,0.504196,0.495804,-0.970038,0.255184
19,4965.89,1929.61,8151.44,0.0227941,13,-0.901096,-1.48998,-0.678251,-1.23468,0.49984,0.50016,-0.970038,0.255184
20,5472.62,2005.32,8244.07,0.0243788,13,-0.901096,-1.48998,-0.678251,-1.23468,0.500988,0.499012,-0.970038,0.255184
21,5306.74,2345.32,8234.1,0.0216691,13,-0.901096,-1.48998,-0.678251,-1.23468,0.497953,0.502047,-0.970038,0.255184
22,5386.65,1996.02,8085.4,0.0233775,13,-0.901096,-1.48998,-0.678251,-1.23468,0.494746,0.505254,-0.970038,0.255184
23,4767.57,1990.1,8107.33,0.0226062,13,-0.901096,-1.48998,-0.678251,-1.23468,0.495209,0.504791,-0.970038,0.255184
24,5508.8,2375.79,8219.42,0.0209877,13,-0.901096,-1.48998,-0.678251,-1.23468,0.49774,0.50226,-0.970038,0.255184
25,4741.73,1932.09,8135.52,0.0241232,13,-0.901096,-1.48998,-0.678251,-1.23468,0.496847,0.503153,-0.970038,0.255184
26,5175.59,2006.34,7757.3,0.0213842,13,-0.901096,-1.48998,-0.678251,-1.23468,0.499232,0.500768,-0.970038,0.255184
27,5079.46,2072.66,8149.88,0.024032,13,-0.901096,-1.48998,-0.678251,-1.23468,0.498924,0.501076,-0.970038,0.255184
28,5369.76,2492.78,8070.28,0.0220675,13,-0.901096,-1.48998,-0.678251,-1.23468,0.500956,0.499044,-0.970038,0.255184
29,4916.51,2220.23,8138.53,0.0241903,13,-0.901096,-1.48998,-0.678251,-1.23468,0.503653,0.496347,-0.970038,0.255184
30,5100.74,2213.69,8173.16,0.0230923,13,-0.901096,-1.48998,-0.678251,-1.23468,0.503602,0.496398,-0.970038,0.255184
31,5234.18,2552.14,7552.99,0.0221501,13,-0.901096,-1.48998,-0.678251,-1.23468,0.506924,0.493076,-0.970038,0.255184
32,5204.5,2180.12,8180.32,0.0227546,13,-0.901096,-1.48998,-0.678251,-1.23468,0.510443,0.489557,-0.970038,0.255184
33,5556.88,2449.29,8215.62,0.0223507,13,-0.901096,-1.48998,-0.678251,-1.23468,0.508577,0.491423,-0.970038,0.255184
34,4183.03,1901.62,8190.44,0.023985,13,-0.901096,-1.48998,-0.678251,-1.23468,0.511568,0.488432,-0.970038,0.255184
35,5036.34,1912.5,8160.69,0.0217271,13,-0.901096,-1.48998,-0.678251,-1.23468,0.50801,0.49199,-0.970038,0.255184
36,5228.4,2055.86,7818.33,0.0238848,13,-0.901096,-1.48998,-0.678251,-1.23468,0.512492,0.487508,-0.970038,0.255184
37,5536.1,2088.69,8182.45,0.0220992,13,-0.901096,-1.48998,-0.678251,-1.23468,0.514264,0.485736,-0.970038,0.255184
38,5572.22,2513.78,8244.11,0.022324,13,-0.901096,-1.48998,-0.678251,-1.23468,0.51638,0.48362,-0.970038,0.255184
39,5431.37,2009.09,8196.95,0.0241574,13,-0.901096,-1.48998,-0.678251,-1.23468,0.517514,0.482486,-0.970038,0.255184
40,4978.28,1936.28,8214.15,0.0219998,13,-0.901096,-1.48998,-0.678251,-1.23468,0.519566,0.480434,-0.970038,0.255184
41,5730.75,1970.24,8211.53,0.0231298,13,-0.901096,-1.48998,-0.678251,-1.23468,0.516626,0.483374,-0.970038,0.255184
42,4479.62,2012.41,8180.04,0.023796,13,-0.901096,-1.48998,-0.678251,-1.23468,0.518393,0.481607,-0.970038,0.255184
43,5142.52,1991.44,8127.26,0.0225284,13,-0.901096,-1.48998,-0.678251,-1.23468,0.517991,0.482009,-0.970038,0.255184
44,4972.82,2138.47,8233.13,0.0244242,13,-0.901096,-1.48998,-0.678251,-1.23468,0.519726,0.480274,-0.970038,0.255184
45,5214.57,2438.92,8108.2,0.0225108,13,-0.901096,-1.48998,-0.678251,-1.23468,0.517312,0.482688,-0.970038,0.255184
46,4808.39,2027.29,7722.08,0.0239743,13,-0.901096,-1.48998,-0.678251,-1.23468,0.517894,0.482106,-0.970038,0.255184
47,4951.46,1901.77,8185.41,0.0233728,13,-0.901096,-1.48998,-0.678251,-1.23468,0.517599,0.482401,-0.970038,0.255184
48,5508.4,2228.57,8036.75,0.0235057,13,-0.901096,-1.48998,-0.678251,-1.23468,0.518673,0.481327,-0.970038,0.255184
49,5643.37,1968.47,8249.14,0.0238758,13,-0.901096,-1.48998,-0.678251,-1.23468,0.516232,0.483768,-0.970038,0.255184
50,5286.12,2053.16,8231.51,0.023636,13,-0.901096,-1.48998,-0.678251,-1.23468,0.521566,0.478434,-0.970038,0.255184
