Iteration,AverageSaleValue,MinSaleValue,MaxSaleValue,Distance,Tolerance
1,5658.55,1898.15,8246.53,0.0246518,13
2,4459.75,1914.57,8047.06,0.0233572,13
3,5193.28,2391.48,8249.42,0.0240197,13
4,5096.52,1947.93,8189.32,0.0242774,13
5,5289.91,2467.54,8250.68,0.0221555,13
6,5363.43,2122.35,8167.5,0.0229935,13
7,5076.91,2546.26,8251.56,0.0226872,13
8,5766.65,2041.95,8224.8,0.0231477,13
9,5366.9,2250.43,8227.7,0.0233523,13
10,5549.28,2501.2,8246.44,0.0233769,13
11,5140.61,2149.18,7696.37,0.0243477,13
12,5072.58,1999.67,8219.86,0.023112,13
13,5220.29,2392.02,8205.56,0.0235663,13
14,4959.21,2073.69,8223.11,0.021824,13
15,5178.48,2092,8186.47,0.0230733,13
16,5238.67,2244.7,7813.65,0.0218022,13
17,4732.99,2032.23,8160.57,0.0241333,13
18,4438.83,2266.31,8082.53,0.0236694,13
19,5640.75,1964.4,8150.08,0.0243159,13
20,5057.36,1916.57,8171.72,0.0240607,13
21,4831.95,1956.62,8121.12,0.0224266,13
22,4665.18,2034.1,7865.01,0.0225215,13
23,5025.94,1984.32,7944.83,0.0243296,13
24,4978.36,1924.92,8171.52,0.0229178,13
25,5009.89,2447.09,8240.53,0.0236501,13
26,4933.24,2207.34,8217.28,0.0227792,13
27,5477.89,2493.81,8245.55,0.0241593,13
28,5191.22,2146.35,8200.75,0.0222802,13
29,5048.91,2087.59,8090.18,0.0229568,13
30,5248.57,2062.86,8249.84,0.0238931,13
31,5609.63,2219,8242.54,0.0234105,13
32,5445.11,2039.57,8230.63,0.0225424,13
33,4657.41,2073.17,8236.88,0.0226074,13
34,5104.9,2207.48,8173.39,0.0229805,13
35,5374.57,2041.12,8073.93,0.0230234,13
36,5717.84,2634.55,8249.5,0.024349,13
37,5431.59,1907.01,8248.05,0.0234775,13
38,5174.8,1941.84,8096.01,0.0237235,13
39,5429.26,1983.71,8249.07,0.0222976,13
40,5300.64,1909.46,8234.33,0.022741,13
41,4871.26,1917.56,8211.53,0.0230082,13
42,4566.32,1904.47,8218.29,0.0238578,13
43,5348.17,2068.91,7820.44,0.0228664,13
44,5363.05,1970.8,8241.62,0.023201,13
45,5774.28,2129.16,8245.26,0.0231095,13
46,4723.26,1902.28,8028.66,0.0235638,13
47,4452.7,1998.96,7501.33,0.0231841,13
48,4932.48,2157.83,7718.13,0.0237007,13
49,4800.97,2018.71,7766.25,0.0222238,13
50,4990.4,1909.21,8234.91,0.0233656,13
