Iteration,AverageSaleValue,MinSaleValue,MaxSaleValue,Distance,Tolerance,client_numeric,day,month,sku_count_products,total_num_count_products,total_price_products,vendor_numeric,year
1,4810,1973.92,8173.72,0.023062,13,1.32852,-1.15155,-0.386567,-0.632876,1,0,-0.994048,0.951574
2,5116.58,1931.89,8223.41,0.0230732,13,1.32852,-1.15155,-0.386567,-0.632876,0.960827,0.0391735,-0.994048,0.951574
3,5029.16,2143.61,8214.03,0.022888,13,1.32852,-1.15155,-0.386567,-0.632876,0.935072,0.0649281,-0.994048,0.951574
4,5020.29,2004.25,8207.98,0.0237021,13,1.32852,-1.15155,-0.386567,-0.632876,0.920555,0.0794448,-0.994048,0.951574
5,4725.62,1982.9,7927.43,0.0238662,13,1.32852,-1.15155,-0.386567,-0.632876,0.909164,0.0908362,-0.994048,0.951574
6,5086.44,1938.61,8252.82,0.0242006,13,1.32852,-1.15155,-0.386567,-0.632876,0.897013,0.102987,-0.994048,0.951574
7,4447.04,2056.51,7766.66,0.0233839,13,1.32852,-1.15155,-0.386567,-0.632876,0.888531,0.111469,-0.994048,0.951574
8,5256.44,2018.16,8171.96,0.0236209,13,1.32852,-1.15155,-0.386567,-0.632876,0.87958,0.12042,-0.994048,0.951574
9,5109.81,2037.45,8185.27,0.0235099,13,1.32852,-1.15155,-0.386567,-0.632876,0.872073,0.127927,-0.994048,0.951574
10,5222.21,1939.47,8216.73,0.0232954,13,1.32852,-1.15155,-0.386567,-0.632876,0.864429,0.135571,-0.994048,0.951574
11,5378.15,2655.44,8187.75,0.0248926,13,1.32852,-1.15155,-0.386567,-0.632876,0.861978,0.138022,-0.994048,0.951574
12,5008.71,1912.07,8074.54,0.0218576,13,1.32852,-1.15155,-0.386567,-0.632876,0.857632,0.142368,-0.994048,0.951574
13,4955.92,2084.38,8155.76,0.0226677,13,1.32852,-1.15155,-0.386567,-0.632876,0.854699,0.145301,-0.994048,0.951574
14,4587.19,2515.27,7584.53,0.0234887,13,1.32852,-1.15155,-0.386567,-0.632876,0.851686,0.148314,-0.994048,0.951574
15,4574.15,1902.04,8245.68,0.0234709,13,1.32852,-1.15155,-0.386567,-0.632876,0.844059,0.155941,-0.994048,0.951574
16,4911.73,2341.4,8193.39,0.0222403,13,1.32852,-1.15155,-0.386567,-0.632876,0.842076,0.157924,-0.994048,0.951574
17,4976.19,2026.97,8221.27,0.0245202,13,1.32852,-1.15155,-0.386567,-0.632876,0.842664,0.157336,-0.994048,0.951574
18,5371.41,2369.66,7943.83,0.0245498,13,1.32852,-1.15155,-0.386567,-0.632876,0.834091,0.165909,-0.994048,0.951574
